"","TipLabels_Data","Date"
"A/Stockholm/12/1992--EPI_ISL_114868--A_/_H3N2--11/01/1992","A/Stockholm/12/1992--EPI_ISL_114868--A_/_H3N2--11/01/1992","11/01/1992"
"A/New_York/758/1993--EPI_ISL_5475--A_/_H3N2--02/03/1993","A/New_York/758/1993--EPI_ISL_5475--A_/_H3N2--02/03/1993","02/03/1993"
"A/Netherlands/938/1992--EPI_ISL_114660--A_/_H3N2--12/19/1991","A/Netherlands/938/1992--EPI_ISL_114660--A_/_H3N2--12/19/1991","12/19/1991"
"A/Siena/5/1991--EPI_ISL_25043--A_/_H3N2--12/21/1991","A/Siena/5/1991--EPI_ISL_25043--A_/_H3N2--12/21/1991","12/21/1991"
"A/Siena/1/1991--EPI_ISL_27597--A_/_H3N2--12/17/1991","A/Siena/1/1991--EPI_ISL_27597--A_/_H3N2--12/17/1991","12/17/1991"
"A/Siena/6/1991--EPI_ISL_25044--A_/_H3N2--12/24/1991","A/Siena/6/1991--EPI_ISL_25044--A_/_H3N2--12/24/1991","12/24/1991"
"A/Finland/218/1992--EPI_ISL_110954--A_/_H3N2--01/24/1992","A/Finland/218/1992--EPI_ISL_110954--A_/_H3N2--01/24/1992","01/24/1992"
"A/Paris/597/1991--EPI_ISL_114813--A_/_H3N2--12/01/1991","A/Paris/597/1991--EPI_ISL_114813--A_/_H3N2--12/01/1991","12/01/1991"
"A/Lyon/1149/1991--EPI_ISL_114504--A_/_H3N2--12/09/1991","A/Lyon/1149/1991--EPI_ISL_114504--A_/_H3N2--12/09/1991","12/09/1991"
"A/Paris/424/1992--EPI_ISL_114759--A_/_H3N2--12/01/1991","A/Paris/424/1992--EPI_ISL_114759--A_/_H3N2--12/01/1991","12/01/1991"
"A/Paris/320/1992--EPI_ISL_114708--A_/_H3N2--12/01/1991","A/Paris/320/1992--EPI_ISL_114708--A_/_H3N2--12/01/1991","12/01/1991"
"A/Paris/564/1991--EPI_ISL_114811--A_/_H3N2--12/01/1991","A/Paris/564/1991--EPI_ISL_114811--A_/_H3N2--12/01/1991","12/01/1991"
"A/Paris/457/1992--EPI_ISL_114760--A_/_H3N2--12/01/1991","A/Paris/457/1992--EPI_ISL_114760--A_/_H3N2--12/01/1991","12/01/1991"
"A/Paris/417/1992--EPI_ISL_114758--A_/_H3N2--12/01/1991","A/Paris/417/1992--EPI_ISL_114758--A_/_H3N2--12/01/1991","12/01/1991"
"A/Nijmegen/3126/1992--EPI_ISL_114705--A_/_H3N2--01/09/1992","A/Nijmegen/3126/1992--EPI_ISL_114705--A_/_H3N2--01/09/1992","01/09/1992"
"A/Netherlands/823/1992--EPI_ISL_114661--A_/_H3N2--02/03/1992","A/Netherlands/823/1992--EPI_ISL_114661--A_/_H3N2--02/03/1992","02/03/1992"
"A/Houston/56941/1992--EPI_ISL_114656--A_/_H3N2--04/03/1992","A/Houston/56941/1992--EPI_ISL_114656--A_/_H3N2--04/03/1992","04/03/1992"
"A/South_Austalia/27/1992--EPI_ISL_114816--A_/_H3N2--04/06/1992","A/South_Austalia/27/1992--EPI_ISL_114816--A_/_H3N2--04/06/1992","04/06/1992"
"A/Lyon/1189/1991--EPI_ISL_114506--A_/_H3N2--12/12/1991","A/Lyon/1189/1991--EPI_ISL_114506--A_/_H3N2--12/12/1991","12/12/1991"
"A/Houston/56829/1992--EPI_ISL_114655--A_/_H3N2--04/03/1992","A/Houston/56829/1992--EPI_ISL_114655--A_/_H3N2--04/03/1992","04/03/1992"
"A/Paris/325/1992--EPI_ISL_114709--A_/_H3N2--12/01/1991","A/Paris/325/1992--EPI_ISL_114709--A_/_H3N2--12/01/1991","12/01/1991"
"A/Paris/512/1991--EPI_ISL_114762--A_/_H3N2--12/01/1991","A/Paris/512/1991--EPI_ISL_114762--A_/_H3N2--12/01/1991","12/01/1991"
"A/Houston/56798/1992--EPI_ISL_114612--A_/_H3N2--04/03/1992","A/Houston/56798/1992--EPI_ISL_114612--A_/_H3N2--04/03/1992","04/03/1992"
"A/Paris/407/1992--EPI_ISL_114710--A_/_H3N2--12/01/1991","A/Paris/407/1992--EPI_ISL_114710--A_/_H3N2--12/01/1991","12/01/1991"
"A/Geneva/6447/1991--EPI_ISL_110910--A_/_H3N2--11/27/1991","A/Geneva/6447/1991--EPI_ISL_110910--A_/_H3N2--11/27/1991","11/27/1991"
"A/Lyon/1594/1991--EPI_ISL_114556--A_/_H3N2--12/26/1991","A/Lyon/1594/1991--EPI_ISL_114556--A_/_H3N2--12/26/1991","12/26/1991"
"A/Lyon/24103/1991--EPI_ISL_114558--A_/_H3N2--12/24/1991","A/Lyon/24103/1991--EPI_ISL_114558--A_/_H3N2--12/24/1991","12/24/1991"
"A/Lyon/23672/1991--EPI_ISL_114557--A_/_H3N2--12/17/1991","A/Lyon/23672/1991--EPI_ISL_114557--A_/_H3N2--12/17/1991","12/17/1991"
"A/Lyon/1276/1991--EPI_ISL_114507--A_/_H3N2--12/12/1991","A/Lyon/1276/1991--EPI_ISL_114507--A_/_H3N2--12/12/1991","12/12/1991"
"A/Lyon/1373/1991--EPI_ISL_114555--A_/_H3N2--12/16/1991","A/Lyon/1373/1991--EPI_ISL_114555--A_/_H3N2--12/16/1991","12/16/1991"
"A/Paris/548/1992--EPI_ISL_114763--A_/_H3N2--12/01/1991","A/Paris/548/1992--EPI_ISL_114763--A_/_H3N2--12/01/1991","12/01/1991"
"A/Lyon/1337/1991--EPI_ISL_114554--A_/_H3N2--12/16/1991","A/Lyon/1337/1991--EPI_ISL_114554--A_/_H3N2--12/16/1991","12/16/1991"
"A/Lyon/1182/1991--EPI_ISL_114505--A_/_H3N2--12/12/1991","A/Lyon/1182/1991--EPI_ISL_114505--A_/_H3N2--12/12/1991","12/12/1991"
"A/Geneva/5113/1992--EPI_ISL_114611--A_/_H3N2--01/15/1992","A/Geneva/5113/1992--EPI_ISL_114611--A_/_H3N2--01/15/1992","01/15/1992"
"A/Lyon/24222/1991--EPI_ISL_114559--A_/_H3N2--12/26/1991","A/Lyon/24222/1991--EPI_ISL_114559--A_/_H3N2--12/26/1991","12/26/1991"
"A/Stockholm/20/1991--EPI_ISL_110951--A_/_H3N2--12/17/1991","A/Stockholm/20/1991--EPI_ISL_110951--A_/_H3N2--12/17/1991","12/17/1991"
"A/Finland/220/1992--EPI_ISL_110955--A_/_H3N2--01/24/1992","A/Finland/220/1992--EPI_ISL_110955--A_/_H3N2--01/24/1992","01/24/1992"
"A/South_Austalia/23/1992--EPI_ISL_114815--A_/_H3N2--03/31/1992","A/South_Austalia/23/1992--EPI_ISL_114815--A_/_H3N2--03/31/1992","03/31/1992"
